train_acc,train_loss,val_acc,val_loss
0.06023157894736843,4.1313004,0.12359999999999999,3.7203703
0.14469473684210524,3.5518534,0.16360000000000002,3.5026898
0.22867368421052633,3.0984786,0.22640000000000002,3.1117585
0.2945052631578947,2.738087,0.3004,2.7786646
0.3501473684210526,2.45885,0.35879999999999995,2.4840488
0.39854736842105265,2.2530067,0.39640000000000003,2.2493484
0.43176842105263163,2.0877588,0.4104,2.289379
0.45772631578947365,1.9633621,0.44079999999999997,2.0296998
0.48433684210526323,1.866922,0.4424,2.0562692
0.5014526315789474,1.7869375,0.4792,1.9172477
0.5130947368421053,1.7236168,0.45959999999999995,2.086501
0.5305473684210527,1.6577517,0.418,2.1892488
0.5455578947368422,1.6090072,0.4924000000000001,1.8844137
0.5573894736842105,1.5603012,0.4996,1.8642784
0.567221052631579,1.5142169,0.49839999999999995,1.8430368
0.5796842105263158,1.467324,0.5376000000000001,1.6935058
0.5849684210526316,1.435863,0.5352,1.72766
0.5926526315789473,1.4079407,0.5216000000000001,1.7614473
0.5996842105263158,1.371001,0.5492,1.6877987
0.6108421052631579,1.3408399,0.5224,1.8068744
0.619557894736842,1.3085806,0.5188,1.7768663
0.6242947368421052,1.2791028,0.5184,1.8000894
0.6331157894736843,1.2493086,0.5352,1.8199006
0.6387157894736842,1.2251887,0.5384,1.6740788
0.6432631578947369,1.206533,0.5795999999999999,1.5621418
0.6513894736842104,1.1771053,0.5488,1.6894863
0.6570526315789474,1.1565496,0.55,1.5947076
0.6599789473684211,1.1399475,0.5656,1.6222153
0.6693263157894735,1.1138128,0.5656,1.6295851
0.6733052631578949,1.0967903,0.5443999999999999,1.7485629
0.6794736842105263,1.0737367,0.5876,1.5437646
0.6839157894736843,1.0557083,0.5828,1.6474472
0.6889263157894737,1.0325195,0.5844,1.5170082
0.6926315789473685,1.0226972,0.59,1.6160812
0.6976842105263158,0.9935114,0.5736000000000001,1.6489187
0.7038947368421054,0.98184663,0.5748,1.6919881
0.7101894736842106,0.9598215,0.5924,1.5842614
0.7114526315789472,0.9524893,0.5936,1.5933119
0.716757894736842,0.93340296,0.5828,1.622155
0.7208421052631578,0.91974866,0.596,1.6039455
0.7240631578947367,0.90220743,0.5983999999999999,1.566404
0.7286526315789474,0.88257015,0.5916,1.6375581
0.7309052631578947,0.8777586,0.5884,1.6019763
0.738421052631579,0.8432112,0.5852,1.658158
0.745578947368421,0.83264226,0.6024,1.5765941
0.7462315789473685,0.818208,0.602,1.597557
0.7501684210526316,0.80819595,0.5892000000000001,1.649589
0.7558105263157895,0.78843313,0.5943999999999999,1.6771144
0.7602526315789474,0.7744259,0.6064,1.6209538
0.7616421052631578,0.7638032,0.5968,1.6837227
0.7651157894736841,0.75333804,0.5968,1.6347756
0.7716210526315789,0.73089087,0.5983999999999999,1.618179
0.7725473684210525,0.7280524,0.6056,1.6310769
0.7773684210526316,0.7100505,0.6015999999999999,1.6358483
0.7795157894736842,0.6990114,0.6072,1.6514466
0.7838736842105263,0.68413377,0.5948,1.7172357
0.7874315789473684,0.6746876,0.6072000000000001,1.6852897
0.7903368421052632,0.657969,0.6008,1.7039989
0.7958105263157894,0.64522094,0.616,1.6611785
0.798821052631579,0.6300683,0.6112000000000001,1.7353864
0.8031157894736842,0.6183309,0.6148,1.6748226
0.8046947368421054,0.61013573,0.6208,1.6799836
0.8089473684210526,0.59804916,0.616,1.7320328
0.8123157894736842,0.58367175,0.6136,1.699184
0.8163999999999999,0.5736262,0.6196,1.6948079
0.8188842105263159,0.5613537,0.6127999999999999,1.7125239
0.8219157894736842,0.55353695,0.6028,1.763793
0.8238315789473684,0.54431814,0.6108,1.7259912
0.8281894736842105,0.5289468,0.6216,1.7325964
0.8314105263157894,0.5205994,0.612,1.7632304
0.8362105263157894,0.5069214,0.6204,1.7426596
0.8358736842105262,0.50326675,0.6192,1.7698152
0.8387368421052631,0.49603575,0.6228,1.7719083
0.8433684210526317,0.48521298,0.614,1.8005222
0.8469684210526317,0.4717166,0.6160000000000001,1.8085028
0.8486947368421053,0.46824384,0.6204,1.7924054
0.8501894736842104,0.46026444,0.6192,1.798863
0.8523578947368421,0.44880456,0.612,1.8397087
0.8528421052631578,0.45192042,0.6196,1.8042939
0.856,0.4413091,0.6168,1.8516796
0.8602315789473685,0.43078563,0.6172,1.8098326
0.8597894736842105,0.4261131,0.6192,1.8355745
0.8625684210526317,0.42119133,0.6184,1.8290491
0.8629263157894737,0.41476318,0.618,1.870944
0.864821052631579,0.41086465,0.618,1.8410797
0.867621052631579,0.4053686,0.618,1.8636217
0.8673684210526316,0.40031338,0.6196,1.8732182
0.869642105263158,0.39741266,0.6176,1.8526688
0.8717263157894737,0.39475915,0.6196,1.8648416
0.8734947368421052,0.39038464,0.6195999999999999,1.8843243
0.872842105263158,0.39080217,0.6187999999999999,1.8852434
0.8721894736842105,0.3880166,0.6148000000000001,1.8765435
0.8741052631578948,0.38355327,0.6172000000000001,1.9104517
0.8749473684210527,0.3806353,0.618,1.8807179
0.8734315789473684,0.38505074,0.6167999999999999,1.885721
0.875578947368421,0.38151634,0.6172000000000001,1.8764436
0.8772210526315791,0.377772,0.616,1.8975502
0.875957894736842,0.3763709,0.6175999999999999,1.8879634
0.8768842105263157,0.37620568,0.6168,1.8886766
0.8774947368421052,0.37615195,0.6175999999999999,1.8936603
